#,Vervaldatum,Rente,Afbetaling,Kapitaal,Interest,Kapitaal saldo
1,01/11/2024,"3,66%","€ 25.957,94","€ 10.744,06","€ 15.213,88","€ 416.755,94"
2,01/11/2025,"3,66%","€ 25.957,94","€ 11.137,30","€ 14.820,65","€ 405.618,64"
3,01/11/2026,"3,66%","€ 25.957,94","€ 11.544,92","€ 14.413,02","€ 394.073,72"
4,01/11/2027,"3,66%","€ 25.957,94","€ 11.967,46","€ 13.990,48","€ 382.106,26"
5,01/11/2028,"3,66%","€ 25.957,94","€ 12.405,47","€ 13.552,47","€ 369.700,78"
6,01/11/2029,"3,66%","€ 25.957,94","€ 12.859,51","€ 13.098,43","€ 356.841,27"
7,01/11/2030,"3,66%","€ 25.957,94","€ 13.330,17","€ 12.627,77","€ 343.511,10"
8,01/11/2031,"3,66%","€ 25.957,94","€ 13.818,06","€ 12.139,89","€ 329.693,04"
9,01/11/2032,"3,66%","€ 25.957,94","€ 14.323,80","€ 11.634,15","€ 315.369,24"
10,01/11/2033,"3,66%","€ 25.957,94","€ 14.848,05","€ 11.109,90","€ 300.521,19"
11,01/11/2034,"3,66%","€ 25.957,94","€ 15.391,49","€ 10.566,46","€ 285.129,71"
12,01/11/2035,"3,66%","€ 25.957,94","€ 15.954,82","€ 10.003,13","€ 269.174,89"
13,01/11/2036,"3,66%","€ 25.957,94","€ 16.538,76","€ 9.419,18","€ 252.636,13"
14,01/11/2037,"3,66%","€ 25.957,94","€ 17.144,08","€ 8.813,86","€ 235.492,05"
15,01/11/2038,"3,66%","€ 25.957,94","€ 17.771,55","€ 8.186,39","€ 217.720,49"
16,01/11/2039,"3,66%","€ 25.957,94","€ 18.421,99","€ 7.535,95","€ 199.298,50"
17,01/11/2040,"3,66%","€ 25.957,94","€ 19.096,24","€ 6,861,71","€ 180.202,26"
18,01/11/2041,"3,66%","€ 25.957,94","€ 19.795,16","€ 6.162,78","€ 160.407,10"
19,01/11/2042,"3,66%","€ 25.957,94","€ 20.519,66","€ 5.438,28","€ 139.887,44"
20,01/11/2043,"3,66%","€ 25.957,94","€ 21.270,68","€ 4.687,26","€ 118.616,76"
21,01/11/2044,"3,66%","€ 25.957,94","€ 22.049,19","€ 3.908,75","€ 96.567,57"
22,01/11/2045,"3,66%","€ 25.957,94","€ 22.856,19","€ 3.101,75","€ 73.711,38"
23,01/11/2046,"3,66%","€ 25.957,94","€ 23.692,73","€ 2.265,22","€ 50.018,65"
24,01/11/2047,"3,66%","€ 25.957,94","€ 24.559,88","€ 1.398,06","€ 25.458,77"
25,01/11/2048,"3,66%","€ 25.957,94","€ 25.458,77","€ 499,17","€ 0,00"
